Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification
Costa Rica,Americas,199187,3910.14,2243,44.03,0,2714,53.28,34,0.67,0,Community transmission
Lithuania,Europe,190724,7006.02,3954,145.25,483,3070,112.77,133,4.89,13,Community transmission
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,189268,3710.11,5903,115.71,804,2128,41.71,56,1.1,3,Community transmission
Slovenia,Europe,179148,8617.28,5964,286.88,1005,3967,190.82,39,1.88,0,Clusters of cases
Kuwait,Eastern Mediterranean,177701,4161.06,6703,156.96,798,1003,23.49,37,0.87,5,Community transmission
Egypt,Eastern Mediterranean,173813,169.85,4173,4.08,611,9994,9.77,343,0.34,59,Clusters of cases
Greece,Europe,171466,1645.06,8253,79.18,1222,6103,58.55,152,1.46,26,Community transmission
Republic of Moldova,Europe,169805,4209.38,5562,137.88,979,3640,90.23,110,2.73,14,Community transmission
Armenia,Europe,169167,5708.85,1079,36.41,145,3141,106,24,0.81,1,Community transmission
Guatemala,Americas,167279,933.71,4142,23.12,208,6124,34.18,240,1.34,30,Community transmission
Honduras,Americas,159788,1613.27,5883,59.4,764,3857,38.94,147,1.48,9,Community transmission
Qatar,Eastern Mediterranean,157244,5457.87,3146,109.2,440,255,8.85,5,0.17,0,Community transmission
Ethiopia,Africa,146492,127.42,4154,3.61,788,2194,1.91,46,0.04,13,Community transmission
Nigeria,Africa,146184,70.92,6436,3.12,520,1752,0.85,85,0.04,5,Community transmission
Paraguay,Americas,143443,2011.11,5840,81.88,845,2920,40.94,113,1.58,16,Community transmission
Myanmar,South-East Asia,141601,260.25,297,0.55,16,3189,5.86,14,0.03,1,Clusters of cases
Oman,Eastern Mediterranean,137306,2688.78,1632,31.96,684,1542,30.2,8,0.16,3,Community transmission
Venezuela (Bolivarian Republic of),Americas,132743,466.81,3100,10.9,484,1273,4.48,45,0.16,6,Community transmission
Libya,Eastern Mediterranean,127354,1853.42,3328,48.43,473,2018,29.37,65,0.95,4,Community transmission
Bosnia and Herzegovina,Europe,125642,3829.59,1938,59.07,240,4892,149.11,101,3.08,11,Community transmission
Bahrain,Eastern Mediterranean,112742,6625.74,5413,318.12,640,403,23.68,23,1.35,5,Clusters of cases
Algeria,Africa,110711,252.47,1623,3.7,198,2939,6.7,25,0.06,4,Community transmission
Kenya,Africa,102867,191.3,1048,1.95,75,1795,3.34,16,0.03,0,Community transmission
China,Western Pacific,101536,6.9,220,0.01,21,4838,0.33,7,0,0,Clusters of cases
Puerto Rico,Americas,97609,3411.88,1770,61.87,296,1919,67.08,36,1.26,4,Community transmission
North Macedonia,Europe,96872,4649.75,2273,109.1,354,2976,142.84,60,2.88,5,Community transmission
Albania,Europe,91987,3196.44,7775,270.17,1152,1543,53.62,97,3.37,12,Clusters of cases
Kyrgyzstan,Europe,85475,1310.12,404,6.19,34,1441,22.09,15,0.23,0,Clusters of cases
Republic of Korea,Western Pacific,83869,163.59,2685,5.24,344,1527,2.98,53,0.1,5,Clusters of cases
Uzbekistan,Europe,79416,237.28,318,0.95,35,622,1.86,1,0,0,Clusters of cases
Latvia,Europe,76282,4044.22,4962,263.07,773,1443,76.5,116,6.15,12,Community transmission
Ghana,Africa,75836,244.06,5068,16.31,718,533,1.72,76,0.24,15,Community transmission
Sri Lanka,South-East Asia,75654,353.3,6306,29.45,802,397,1.85,41,0.19,13,Clusters of cases
Zambia,Africa,69437,377.7,6774,36.85,983,951,5.17,98,0.53,11,Community transmission
Montenegro,Europe,68476,10902.68,2811,447.56,0,880,140.11,42,6.69,0,Clusters of cases
Norway,Europe,66236,1221.79,1753,32.34,425,592,10.92,10,0.18,0,Clusters of cases
Kosovo[1],Europe,64052,3442.95,2086,112.13,290,1534,82.46,24,1.29,4,Community transmission
Singapore,Western Pacific,59800,1022.16,101,1.73,14,29,0.5,0,0,0,Sporadic cases
El Salvador,Americas,57428,885.39,1191,18.36,0,1742,26.86,61,0.94,8,Community transmission
Afghanistan,Eastern Mediterranean,55514,142.61,155,0.4,22,2427,6.23,14,0.04,0,Clusters of cases
Luxembourg,Europe,52699,8418.67,1010,161.35,160,606,96.81,14,2.24,0,Community transmission
Estonia,Europe,52416,3951.35,4488,338.33,667,495,37.32,34,2.56,4,Clusters of cases
Mozambique,Africa,50265,160.82,5665,18.12,1677,535,1.71,75,0.24,21,Community transmission
Finland,Europe,49572,894.69,2310,41.69,0,710,12.81,15,0.27,0,Community transmission
Uruguay,Americas,48459,1395.01,3647,104.99,631,533,15.34,52,1.5,6,Community transmission
Uganda,Africa,40019,87.49,171,0.37,0,328,0.72,1,0,0,Community transmission
Cuba,Americas,38289,338.04,5458,48.19,806,266,2.35,28,0.25,5,Community transmission
Namibia,Africa,35970,1415.64,996,39.2,173,388,15.27,13,0.51,2,Community transmission
Zimbabwe,Africa,35172,236.64,620,4.17,68,1400,9.42,74,0.5,2,Community transmission
Cyprus,Europe,32390,2682.71,746,61.79,102,220,18.22,9,0.75,1,Clusters of cases
Cameroon,Africa,31394,118.26,1081,4.07,0,474,1.79,0,0,0,Community transmission
Côte d’Ivoire,Africa,31140,118.05,1315,4.99,256,174,0.66,12,0.05,1,Community transmission
Senegal,Africa,31007,185.18,2247,13.42,366,748,4.47,66,0.39,7,Community transmission
Sudan,Eastern Mediterranean,29933,68.26,168,0.38,0,1849,4.22,14,0.03,0,Community transmission
Malawi,Africa,29035,151.78,1840,9.62,159,952,4.98,96,0.5,15,Community transmission
Australia,Western Pacific,28898,113.33,48,0.19,6,909,3.56,0,0,0,Sporadic cases
Botswana,Africa,24926,1059.95,1423,60.51,0,202,8.59,39,1.66,0,Community transmission
Thailand,South-East Asia,24714,35.41,1157,1.66,143,82,0.12,3,0,2,Clusters of cases
Democratic Republic of the Congo,Africa,24294,27.13,696,0.78,55,692,0.77,11,0.01,0,Community transmission
Angola,Africa,20366,61.97,280,0.85,37,492,1.5,17,0.05,1,Community transmission
Malta,Europe,19651,4450.53,1075,243.46,154,290,65.68,11,2.49,2,Clusters of cases
Madagascar,Africa,19360,69.91,295,1.07,0,285,1.03,4,0.01,0,Community transmission
Jamaica,Americas,19035,642.82,1950,65.85,205,374,12.63,16,0.54,2,Community transmission
French Polynesia,Western Pacific,18263,6501.42,78,27.77,0,135,48.06,2,0.71,0,Sporadic cases
Maldives,South-East Asia,17828,3298.16,1045,193.32,112,58,10.73,3,0.55,2,Clusters of cases
Rwanda,Africa,17343,133.9,892,6.89,76,239,1.85,19,0.15,3,Community transmission
Mauritania,Africa,16974,365.06,197,4.24,197,430,9.25,5,0.11,5,Community transmission
Eswatini,Africa,16535,1425.23,331,28.53,47,630,54.3,26,2.24,0,Community transmission
French Guiana,Americas,16456,5509.54,160,53.57,0,80,26.78,1,0.33,0,Community transmission
Guinea,Africa,14946,113.81,259,1.97,51,84,0.64,0,0,0,Community transmission
Syrian Arab Republic,Eastern Mediterranean,14863,84.93,386,2.21,43,978,5.59,26,0.15,3,Community transmission
Cabo Verde,Africa,14741,2651.32,361,64.93,41,139,25,4,0.72,0,Community transmission
Tajikistan,Europe,13714,143.79,0,0,0,91,0.95,0,0,0,Pending
Mayotte,Africa,13535,4961.24,2780,1019.01,0,78,28.59,14,5.13,0,Clusters of cases
Gabon,Africa,12577,565.07,1120,50.32,0,73,3.28,2,0.09,0,Community transmission
Belize,Americas,12145,3054.36,108,27.16,11,313,78.72,7,1.76,0,Community transmission
Haiti,Americas,12143,106.49,337,2.96,0,247,2.17,1,0.01,0,Community transmission
Burkina Faso,Africa,11588,55.44,303,1.45,0,138,0.66,4,0.02,0,Community transmission
Réunion,Africa,10907,1218.23,420,46.91,0,47,5.25,0,0,0,Clusters of cases
Andorra,Europe,10463,13541.71,257,332.62,36,107,138.48,2,2.59,1,Community transmission
Lesotho,Africa,9965,465.17,585,27.31,113,230,10.74,47,2.19,5,Community transmission
Guadeloupe,Americas,9302,2324.78,146,36.49,0,159,39.74,1,0.25,0,Community transmission
Suriname,Americas,8794,1499.07,144,24.55,16,166,28.3,6,1.02,0,Community transmission
Congo,Africa,8419,152.57,359,6.51,0,123,2.23,1,0.02,0,Community transmission
Bahamas,Americas,8311,2113.45,24,6.1,0,178,45.26,2,0.51,0,Clusters of cases
Mali,Africa,8229,40.64,53,0.26,3,342,1.69,4,0.02,0,Community transmission
Guyana,Americas,8207,1043.41,268,34.07,26,186,23.65,6,0.76,0,Clusters of cases
Trinidad and Tobago,Americas,7642,546.06,26,1.86,5,138,9.86,3,0.21,1,Community transmission
Guam,Western Pacific,7487,4436.08,45,26.66,3,130,77.03,0,0,0,Clusters of cases
Aruba,Americas,7338,6872.97,204,191.07,0,68,63.69,7,6.56,0,Community transmission
Martinique,Americas,6521,1737.71,79,21.05,0,45,11.99,0,0,0,Community transmission
Iceland,Europe,6033,1767.95,13,3.81,0,29,8.5,0,0,0,Community transmission
Djibouti,Eastern Mediterranean,5971,604.35,24,2.43,3,63,6.38,0,0,0,Clusters of cases
Togo,Africa,5874,70.95,391,4.72,51,81,0.98,1,0.01,1,Community transmission
Equatorial Guinea,Africa,5694,405.85,116,8.27,0,87,6.2,1,0.07,0,Community transmission
South Sudan,Africa,5413,48.36,1058,9.45,103,74,0.66,9,0.08,0,Community transmission
Somalia,Eastern Mediterranean,5183,32.61,321,2.02,91,152,0.96,18,0.11,4,Community transmission
Nicaragua,Americas,5064,76.44,37,0.56,0,171,2.58,1,0.02,0,Community transmission
Central African Republic,Africa,4996,103.44,7,0.14,0,63,1.3,0,0,0,Community transmission
Niger,Africa,4695,19.4,83,0.34,5,169,0.7,4,0.02,0,Community transmission
Curaçao,Americas,4633,2823.4,36,21.94,0,22,13.41,1,0.61,0,Community transmission
Benin,Africa,4560,37.61,367,3.03,0,56,0.46,1,0.01,0,Community transmission
Gambia,Africa,4414,182.65,177,7.32,112,138,5.71,4,0.17,3,Community transmission
Gibraltar,Europe,4212,12501.86,42,124.66,9,84,249.32,4,11.87,1,Clusters of cases
Sierra Leone,Africa,3821,47.9,36,0.45,0,79,0.99,0,0,0,Community transmission
Chad,Africa,3645,22.19,148,0.9,23,128,0.78,3,0.02,1,Community transmission
Comoros,Africa,3334,383.39,246,28.29,2,128,14.72,16,1.84,0,Community transmission
San Marino,Europe,3304,9735.4,168,495.02,26,72,212.15,3,8.84,0,Community transmission
Jersey,Europe,3198,2939.34,25,22.98,7,67,61.58,0,0,0,Community transmission
Guinea-Bissau,Africa,2924,148.58,144,7.32,39,46,2.34,0,0,0,Community transmission
Liechtenstein,Europe,2611,6846.37,17,44.58,0,49,128.48,0,0,0,Sporadic cases
United States Virgin Islands,Americas,2524,2417.05,58,55.54,0,25,23.94,1,0.96,0,Community transmission
Saint Lucia,Americas,2487,1354.38,674,367.05,0,23,12.53,5,2.72,0,Community transmission
Eritrea,Africa,2429,68.49,103,2.9,0,7,0.2,0,0,0,Community transmission
Mongolia,Western Pacific,2351,71.71,328,10.01,58,2,0.06,0,0,0,Clusters of cases
Viet Nam,Western Pacific,2229,2.29,224,0.23,34,35,0.04,0,0,0,Clusters of cases
Yemen,Eastern Mediterranean,2149,7.21,18,0.06,9,618,2.07,2,0.01,1,Community transmission
Barbados,Americas,2061,717.18,385,133.97,114,23,8,5,1.74,0,Community transmission
Sint Maarten,Americas,1985,4628.98,74,172.57,0,27,62.96,0,0,0,Community transmission
New Zealand,Western Pacific,1980,41.06,16,0.33,6,25,0.52,0,0,0,Clusters of cases
Liberia,Africa,1969,38.93,13,0.26,0,84,1.66,0,0,0,Community transmission
Seychelles,Africa,1892,1923.8,379,385.37,0,8,8.13,1,1.02,0,Community transmission
Turks and Caicos Islands,Americas,1869,4827.21,174,449.4,36,12,30.99,3,7.75,0,Clusters of cases
Burundi,Africa,1849,15.55,121,1.02,25,3,0.03,0,0,0,Community transmission
Monaco,Europe,1755,4472.02,108,275.2,3,21,53.51,1,2.55,0,Sporadic cases
Sao Tome and Principe,Africa,1482,676.22,143,65.25,0,19,8.67,1,0.46,0,Community transmission
Saint Vincent and the Grenadines,Americas,1418,1278.17,149,134.31,0,6,5.41,2,1.8,0,Community transmission
Saint Martin,Americas,1377,3561.91,88,227.63,0,12,31.04,0,0,0,Community transmission
Papua New Guinea,Western Pacific,922,10.31,27,0.3,0,10,0.11,1,0.01,0,Community transmission
Bhutan,South-East Asia,864,111.97,3,0.39,1,1,0.13,0,0,0,Clusters of cases
Guernsey,Europe,782,1237.42,93,147.16,12,13,20.57,0,0,0,Community transmission
Other,Other,745,,0,,0,13,,0,,0,Not applicable
Bermuda,Americas,694,1114.45,2,3.21,0,12,19.27,0,0,0,Sporadic cases
Faroe Islands,Europe,657,1344.52,2,4.09,0,1,2.05,0,0,0,Sporadic cases
Mauritius,Africa,595,46.79,11,0.86,0,10,0.79,0,0,0,Clusters of cases
United Republic of Tanzania,Africa,509,0.85,0,0,0,21,0.04,0,0,0,Pending
Cambodia,Western Pacific,479,2.87,5,0.03,0,0,0,0,0,0,Sporadic cases
Isle of Man,Europe,436,512.75,2,2.35,0,25,29.4,0,0,0,No cases
Antigua and Barbuda,Americas,427,436.03,128,130.71,0,9,9.19,2,2.04,0,Sporadic cases
Saint Barthélemy,Americas,425,4299.44,46,465.35,0,0,0,0,0,0,Sporadic cases
Cayman Islands,Americas,416,632.99,11,16.74,0,2,3.04,0,0,0,Sporadic cases
Bonaire,Americas,372,1778.63,6,28.69,0,4,19.13,1,4.78,0,Community transmission
Brunei Darussalam,Western Pacific,184,42.06,3,0.69,0,3,0.69,0,0,0,Sporadic cases
British Virgin Islands,Americas,151,499.39,10,33.07,0,1,3.31,0,0,0,Clusters of cases
Grenada,Americas,148,131.53,0,0,0,1,0.89,0,0,0,Sporadic cases
Northern Mariana Islands (Commonwealth of the),Western Pacific,134,232.81,1,1.74,0,2,3.47,0,0,0,Pending
Dominica,Americas,121,168.08,0,0,0,0,0,0,0,0,Clusters of cases
Timor-Leste,South-East Asia,102,7.74,22,1.67,1,0,0,0,0,0,Sporadic cases
Fiji,Western Pacific,56,6.25,0,0,0,2,0.22,0,0,0,Sporadic cases
New Caledonia,Western Pacific,52,18.21,3,1.05,0,0,0,0,0,0,Sporadic cases
Falkland Islands (Malvinas),Americas,49,1406.83,1,28.71,0,0,0,0,0,0,No cases
Lao People's Democratic Republic,Western Pacific,45,0.62,0,0,0,0,0,0,0,0,Sporadic cases
Saint Kitts and Nevis,Americas,41,77.08,1,1.88,1,0,0,0,0,0,Sporadic cases
Greenland,Europe,30,52.84,0,0,0,0,0,0,0,0,No cases
Holy See,Europe,26,3213.84,0,0,0,0,0,0,0,0,Sporadic cases
Saint Pierre and Miquelon,Americas,24,414.15,0,0,0,0,0,0,0,0,Clusters of cases
Montserrat,Americas,20,400.08,3,60.01,1,1,20,0,0,0,Sporadic cases
Sint Eustatius,Americas,20,637.15,0,0,0,0,0,0,0,0,Sporadic cases
Anguilla,Americas,18,119.98,1,6.67,0,0,0,0,0,0,Sporadic cases
Solomon Islands,Western Pacific,18,2.62,1,0.15,0,0,0,0,0,0,No cases
Wallis and Futuna,Western Pacific,9,80.03,0,0,0,0,0,0,0,0,Sporadic cases
Saba,Americas,6,310.4,0,0,0,0,0,0,0,0,Sporadic cases
Marshall Islands,Western Pacific,4,6.76,0,0,0,0,0,0,0,0,No cases
Samoa,Western Pacific,4,2.02,1,0.5,1,0,0,0,0,0,No cases
Vanuatu,Western Pacific,1,0.33,0,0,0,0,0,0,0,0,No cases
American Samoa,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0,No cases
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Palau,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0,No cases
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Tonga,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0,No cases
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
